time_s,true_x_m,true_y_m,true_vx_mps,true_vy_mps,true_ax_mps2,true_ay_mps2,imu_ax_mps2,imu_ay_mps2,gps_x_m,gps_y_m,gps_available,estimated_x_m,estimated_y_m,estimated_vx_mps,estimated_vy_mps,gps_position_error_m,kalman_position_error_m
0.0,0.0,0.0,1.5,0.3,0.35,0.05,0.3957075619631647,-0.0366308331033475,1.2606801284237572,-0.3071901198332891,1,1.2616639315881464,-0.30728119094990486,0.03946143803827947,-0.0036529636775879,1.2975670140404045,1.29854441840934
0.1,0.15175,0.03025,1.535,0.305,0.35,0.05,0.1940023840639256,0.2411670825411858,,,0,1.2665800873122939,-0.30644065190495773,0.05886167644467203,0.02046374457653068,,1.164562887377458
0.2,0.307,0.061,1.5699999999999998,0.31,0.35,0.05,0.4625676793709685,-0.0441381304655379,,,0,1.274779093353616,-0.3046149680996324,0.10511844438176887,0.01604993152997689,,1.034538872363355
0.3,0.4657499999999999,0.09225,1.6049999999999998,0.315,0.35,0.05,0.491084707458682,-0.0454922924653353,,,0,1.2877463613290863,-0.3032374364089614,0.1542269151276371,0.011500702283443357,,0.9121887580953791
0.4,0.628,0.124,1.6399999999999997,0.32,0.35,0.05,0.0573447217019245,0.1311697416206797,,,0,1.3034557764503596,-0.3014315174725136,0.15996138729782955,0.024617676445511327,,0.7982684272844089
0.5,0.7937500000000001,0.15625,1.6749999999999996,0.325,0.35,0.05,0.1546730739706522,0.1644389723505405,-1.157940861216776,-1.8663873851735269,1,0.19303872280988044,-1.0114568146359726,-0.6459344691723252,-0.47871569505547906,2.810722186495614,1.3131615450852474
0.6000000000000001,0.963,0.189,1.7099999999999995,0.33,0.35,0.05,0.3691760604750927,0.1172149045904305,,,0,0.13029115619502338,-1.0587423096185682,-0.609016863124816,-0.46699420459643604,,1.500088293989157
0.7000000000000001,1.13575,0.22225,1.7449999999999994,0.335,0.35,0.05,0.3025636111484626,-0.2028395976077212,,,0,0.07090228793828408,-1.1064559280662505,-0.5787605020099696,-0.48727816435720817,,1.7027507431099442
0.8,1.3119999999999998,0.256,1.7799999999999994,0.34,0.35,0.05,0.3474798263743566,0.1307051659892376,,,0,0.0147636368691589,-1.154530218672025,-0.544012519372534,-0.4742076477582844,,1.9163553114221492
0.9,1.4917499999999997,0.29025,1.8149999999999995,0.345,0.35,0.05,0.2220434108639629,-0.1051462077511598,,,0,-0.03852739801377469,-1.2024767144866093,-0.5218081782861378,-0.4847222685334004,,2.137751613030334
1.0,1.6749999999999996,0.3249999999999999,1.8499999999999992,0.35,0.35,0.05,0.4819096962294242,0.0852914167382395,-0.4620111932381265,-2.313528885976828,1,-0.276307528025208,-1.7853041911231744,-0.6191625378770392,-0.890189463567362,3.395386800080244,2.874192903755745
1.1,1.8617499999999996,0.3602499999999999,1.8849999999999991,0.355,0.35,0.05,0.4666687903143422,-0.163560165309859,,,0,-0.33589043786134026,-1.87514093830646,-0.572495658845605,-0.9065454800983479,,3.1347402031406073
1.2000000000000002,2.051999999999999,0.3959999999999999,1.919999999999999,0.36,0.35,0.05,0.3599046046341824,0.1169483221314595,,,0,-0.3913404807227298,-1.9652107447056375,-0.5365051983821868,-0.894850647885202,,3.397827082953417
1.3,2.245749999999999,0.4322499999999999,1.954999999999999,0.365,0.35,0.05,0.5190861810452049,-0.0709898356461058,,,0,-0.44239556965572246,-2.055050758672388,-0.4845965802776663,-0.9019496314498125,,3.6623478354399817
1.4,2.4429999999999987,0.4689999999999998,1.9899999999999989,0.37,0.35,0.05,0.4201264013378068,-0.1423951975390782,,,0,-0.4887545956768001,-2.145957697805065,-0.4425839401438856,-0.9161891512037204,,3.9285097391481663
1.5,2.6437499999999985,0.5062499999999999,2.024999999999999,0.375,0.35,0.05,0.2211061305675142,0.1570730204723599,9.488648631828184,1.398783213556665,1,4.582693718372456,-0.3811543697773676,2.9621328468612025,0.32676706870756944,6.9028438210135645,2.132367055296995
1.6,2.8479999999999985,0.5439999999999998,2.059999999999999,0.38,0.35,0.05,0.4053126176123748,0.0862466782515126,,,0,4.880933566146638,-0.3480464295153531,3.00266410862244,0.3353917365327207,,2.2200373232846293
1.7000000000000002,3.0557499999999984,0.5822499999999998,2.0949999999999998,0.385,0.35,0.05,0.2061676098756501,-0.0420965202089345,,,0,5.1822308150582606,-0.3147177384631257,3.023280869610005,0.33118208451182723,,2.3079150289069363
1.8,3.266999999999998,0.6209999999999998,2.1299999999999994,0.39,0.35,0.05,0.4817675451960909,0.2676768273531596,,,0,5.486967739745241,-0.28026114587517714,3.0714576241296143,0.3579497672471432,,2.3959399864299273
